Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Networks,Ad Group,Ad Group Status,Keyword,Criterion Type,Final URL,Path 1,Path 2,Ad Type,Headline 1,Headline 1 position,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
CF - New York to Miami,Search,Paused,30,Google search,,,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Condos NY,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Condos NY,,miami condos for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Condos NY,,buying a condo in miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Condos NY,,,,"https://cromwellandforbesmiami.com/?c=ny&utm_source=google&utm_medium=cpc&utm_campaign=cf-newyork&utm_content=condos",miami,from-new-york,Responsive search ad,Miami Condos For Sale,1,Handled From New York,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,Video Tours & Remote Closing,No State Income Tax In FL,Winter At 75 Degrees,We Reply Within Minutes,WhatsApp Us Anytime,New & Off-Market Listings,Licensed Miami Brokerage,Fly In For The Keys,Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Video tours, negotiation, closing - handled while you are in NY. Fly in for the keys.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Winter at 75F, no state income tax - your New York dollars go further in Miami."
CF - New York to Miami,,,,,Miami Real Estate NY,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Real Estate NY,,miami real estate,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Real Estate NY,,miami real estate for sale,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Miami Real Estate NY,,,,"https://cromwellandforbesmiami.com/?c=ny&utm_source=google&utm_medium=cpc&utm_campaign=cf-newyork&utm_content=real-estate",miami,from-new-york,Responsive search ad,Miami Real Estate,1,Handled From New York,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,Video Tours & Remote Closing,No State Income Tax In FL,Winter At 75 Degrees,We Reply Within Minutes,WhatsApp Us Anytime,New & Off-Market Listings,Licensed Miami Brokerage,Fly In For The Keys,Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Video tours, negotiation, closing - handled while you are in NY. Fly in for the keys.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Winter at 75F, no state income tax - your New York dollars go further in Miami."
CF - New York to Miami,,,,,Moving To Miami,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Moving To Miami,,moving to miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Moving To Miami,,moving to miami from new york,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Moving To Miami,,,,"https://cromwellandforbesmiami.com/?c=ny&utm_source=google&utm_medium=cpc&utm_campaign=cf-newyork&utm_content=moving",miami,from-new-york,Responsive search ad,Moving To Miami?,1,Handled From New York,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,Video Tours & Remote Closing,No State Income Tax In FL,Winter At 75 Degrees,We Reply Within Minutes,WhatsApp Us Anytime,New & Off-Market Listings,Licensed Miami Brokerage,Fly In For The Keys,Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Video tours, negotiation, closing - handled while you are in NY. Fly in for the keys.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Winter at 75F, no state income tax - your New York dollars go further in Miami."
CF - New York to Miami,,,,,Second Home Miami,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Second Home Miami,,second home in florida,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Second Home Miami,,second home in miami,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Second Home Miami,,,,"https://cromwellandforbesmiami.com/?c=ny&utm_source=google&utm_medium=cpc&utm_campaign=cf-newyork&utm_content=second-home",miami,from-new-york,Responsive search ad,Your Second Home In Miami,1,Handled From New York,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,Video Tours & Remote Closing,No State Income Tax In FL,Winter At 75 Degrees,We Reply Within Minutes,WhatsApp Us Anytime,New & Off-Market Listings,Licensed Miami Brokerage,Fly In For The Keys,Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Video tours, negotiation, closing - handled while you are in NY. Fly in for the keys.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Winter at 75F, no state income tax - your New York dollars go further in Miami."
CF - New York to Miami,,,,,Buy Property Florida,Enabled,,,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Buy Property Florida,,buying property in florida,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Buy Property Florida,,buy a house in florida,Phrase,,,,,,,,,,,,,,,,,,,,,
CF - New York to Miami,,,,,Buy Property Florida,,,,"https://cromwellandforbesmiami.com/?c=ny&utm_source=google&utm_medium=cpc&utm_campaign=cf-newyork&utm_content=buy-florida",miami,from-new-york,Responsive search ad,Buy Property In Florida,1,Handled From New York,"Cromwell & Forbes, Inc.",Talk To A Licensed Advisor,Video Tours & Remote Closing,No State Income Tax In FL,Winter At 75 Degrees,We Reply Within Minutes,WhatsApp Us Anytime,New & Off-Market Listings,Licensed Miami Brokerage,Fly In For The Keys,Tell us what you are looking for - a licensed Miami advisor calls you back within minutes.,"Video tours, negotiation, closing - handled while you are in NY. Fly in for the keys.","Cromwell & Forbes, Inc. - licensed Florida real estate brokerage since 2013 (CQ1044943).","Winter at 75F, no state income tax - your New York dollars go further in Miami."
